,Unnamed: 0,C_LZ,C_bzip,C_gzip,LZ,LZ_rev,bzip,bzip_rev,conservativity,gzip,gzip_rev,max_model_size,monotonicity,num_chars,order_num,order_type,quantifier,quantity,uniformity
1269,1269,331.4705759248233,95.0,209.5,18,18,95,95,False,210,209,9,up,4,9,lex,not_only,True,0.9155336972568408
1270,1270,1684.975427617852,319.5,496.0,94,89,339,300,True,504,488,9,up,4,9,lex,most,True,0.5946944988040879
1271,1271,1684.975427617852,319.5,496.0,94,89,339,300,False,504,488,9,up,4,9,lex,M,True,0.5946944988040879
1272,1272,1095.694403751499,194.0,405.5,59,60,195,193,True,413,398,9,up,4,10,lex,at_least_4,True,0.8505682013252309
1273,1273,929.9591157890877,173.0,368.5,50,51,175,171,True,373,364,9,up,4,10,lex,at_least_6,True,0.9916457811194652
1274,1274,1482.4100756637936,248.0,450.0,81,80,246,250,True,458,442,9,non,4,10,lex,at_least_6_or_at_most_2,True,0.6348405259724654
1275,1275,699.7712158412938,120.5,337.5,41,35,121,120,True,342,333,9,non,4,10,lex,even,True,0.5014619883040936
1276,1276,1095.694403751499,200.0,408.0,59,60,204,196,True,415,401,9,down,4,10,lex,at_most_3,True,0.8505682013252309
1277,1277,1003.6192437723818,193.5,397.5,54,55,194,193,True,405,390,9,up,4,10,lex,at_least_3,True,0.6264863070919308
1278,1278,994.4117277744699,189.5,320.5,53,55,196,183,True,326,315,9,up,4,10,lex,first_3,False,0.8889146381936577
1279,1279,1058.8643397598526,185.5,400.0,57,58,192,179,True,404,396,9,up,4,10,lex,last_3,False,0.8889146381936577
1280,1280,469.5833158934997,120.5,259.0,20,31,130,111,True,257,261,9,down,4,10,lex,not_all,True,0.9155336972568408
1281,1281,423.5457359039409,95.0,224.5,27,19,97,93,False,222,227,9,up,4,10,lex,not_only,True,0.9155336972568408
1282,1282,1519.2401396554403,237.5,418.5,84,81,239,236,True,424,413,9,up,4,10,lex,most,True,0.5946944988040879
1283,1283,1519.2401396554403,237.5,418.5,84,81,239,236,False,424,413,9,up,4,10,lex,M,True,0.5946944988040879
1284,1284,1049.6568237619406,202.0,401.5,55,59,210,194,True,404,399,9,up,4,11,lex,at_least_4,True,0.8505682013252309
1285,1285,911.544083793264,172.5,358.0,48,51,177,168,True,362,354,9,up,4,11,lex,at_least_6,True,0.9916457811194652
1286,1286,1427.1649796763227,254.5,440.5,74,81,269,240,True,446,435,9,non,4,11,lex,at_least_6_or_at_most_2,True,0.6348405259724654
1287,1287,598.4885398642642,130.5,332.0,27,38,133,128,True,331,333,9,non,4,11,lex,even,True,0.5014619883040936
1288,1288,1049.6568237619406,203.5,403.5,55,59,213,194,True,407,400,9,down,4,11,lex,at_most_3,True,0.8505682013252309
1289,1289,948.3741477849112,194.0,390.5,49,54,211,177,True,393,388,9,up,4,11,lex,at_least_3,True,0.6264863070919308
1290,1290,975.9966957786464,189.5,322.0,53,53,204,175,True,331,313,9,up,4,11,lex,first_3,False,0.8889146381936577
1291,1291,1003.6192437723818,177.5,394.5,52,57,182,173,True,396,393,9,up,4,11,lex,last_3,False,0.8889146381936577
1292,1292,506.4133798851468,116.0,259.0,27,28,121,111,True,262,256,9,down,4,11,lex,not_all,True,0.9155336972568408
1293,1293,423.5457359039409,95.0,224.5,27,19,97,93,False,222,227,9,up,4,11,lex,not_only,True,0.9155336972568408
1294,1294,1519.2401396554403,240.0,420.5,84,81,242,238,True,424,417,9,up,4,11,lex,most,True,0.5946944988040879
1295,1295,1519.2401396554403,240.0,420.5,84,81,242,238,False,424,417,9,up,4,11,lex,M,True,0.5946944988040879
1296,0,908.4691074920556,194.0,1137.0,56,33,198,190,True,1147,1127,10,up,4,0,lex,at_least_4,True,0.7945483155711323
